STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
42,001,030400,42001030400,5829,2436,P,179744167,178726434,42,001,031600,42001031600,6887,2785,P,124036432,123570101,69,69,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030400,42001030400,5829,2436,P,179744167,178726434,42,001,031700,42001031700,2879,1291,P,103482941,103187457,15085,13015,0.01,0.01,0.01,0.01,0,0.00,0.00,0,0.00,0.00
42,001,030500,42001030500,3762,1561,P,63614111,63387688,42,001,030200,42001030200,5500,2167,P,121520610,121160530,11881,11762,0.02,0.02,0.01,0.01,0,0.00,0.00,0,0.00,0.00
42,001,030500,42001030500,3762,1561,P,63614111,63387688,42,001,030300,42001030300,4156,1724,P,112079055,111758049,24495,24495,0.04,0.04,0.02,0.02,0,0.00,0.00,0,0.00,0.00
42,001,030500,42001030500,3762,1561,P,63614111,63387688,42,001,030400,42001030400,5829,2436,P,179462658,178435582,2438,2438,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030500,42001030500,3762,1561,P,63614111,63387688,42,001,030500,42001030500,3767,1564,P,64006118,63752341,63375945,63149641,99.63,99.62,99.02,99.05,3748,99.63,99.50,1556,99.68,99.49
42,001,030500,42001030500,3762,1561,P,63614111,63387688,42,001,030600,42001030600,4928,1871,P,89240806,88828477,194664,194664,0.31,0.31,0.22,0.22,14,0.37,0.28,5,0.32,0.27
42,001,030500,42001030500,3762,1561,P,63614111,63387688,42,001,031401,42001031401,3975,1734,P,29689230,29645478,4688,4688,0.01,0.01,0.02,0.02,0,0.00,0.00,0,0.00,0.00
42,001,030600,42001030600,4920,1869,P,89113977,88874898,42,001,030500,42001030500,3767,1564,P,64006118,63752341,581732,581732,0.65,0.65,0.91,0.91,19,0.39,0.50,8,0.43,0.51
42,001,030600,42001030600,4920,1869,P,89113977,88874898,42,001,030600,42001030600,4928,1871,P,89240806,88828477,88528747,88292069,99.34,99.34,99.20,99.40,4901,99.61,99.45,1861,99.57,99.47
42,001,030600,42001030600,4920,1869,P,89113977,88874898,42,001,030700,42001030700,6493,2561,P,81705898,81268436,3256,855,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,030600,42001030600,4920,1869,P,89113977,88874898,42,001,031501,42001031501,3315,589,P,1493877,1481580,242,242,0.00,0.00,0.02,0.02,0,0.00,0.00,0,0.00,0.00
42,001,030700,42001030700,6494,2561,P,81878611,81293976,42,001,030600,42001030600,4928,1871,P,89240806,88828477,329652,324296,0.40,0.40,0.37,0.37,1,0.02,0.02,1,0.04,0.05
